Relative_Day,Inspection_ID,Position,PN,SN,Water,Disbond,mAm,SFD,D4,D7,Exposure,Bin mAm,Bin SFD,Relative_Week,Relative_Month,Relative_Quarter,Rain_Season
109,E087,LH,PN01,SN018,0,1,6,2,1,0,1.5,HIGH,LONG,15,3,2,Transition
109,E088,LH,PN01,SN047,0,1,6,2,1,0,1.5,HIGH,LONG,15,3,2,Transition
109,E089,LH,PN01,SN002,1,1,2,2,1,0,0.5,MID,LONG,15,3,2,Transition
110,E090,LH,PN01,SN034,1,0,2,2,0,1,0.5,MID,LONG,15,3,2,Transition
110,E091,LH,PN01,SN015,1,1,6,2,1,0,1.5,HIGH,LONG,15,3,2,Transition
113,E092,LH,PN01,SN014,0,1,2,2,0,1,0.5,MID,LONG,16,3,2,Transition
114,E093,RH,PN01,SN013,1,1,2,2,0,1,0.5,MID,LONG,16,3,2,Transition
115,E094,LH,PN01,SN004,0,1,5.4,2,1,0,1.4,HIGH,LONG,16,3,2,Transition
115,E095,RH,PN01,SN031,0,1,2,2,1,0,0.5,MID,LONG,16,3,2,Transition
118,E096,LH,PN01,SN005,0,1,2,2,1,0,0.5,MID,LONG,16,3,2,Transition
119,E097,RH,PN01,SN020,1,1,2,2,0,1,0.5,MID,LONG,17,3,2,Transition
120,E098,RH,PN01,SN034,0,1,6,2,1,0,1.5,HIGH,LONG,17,4,2,SE
121,E099,RH,PN01,SN004,0,1,2,2,1,0,0.5,MID,LONG,17,4,2,SE
121,E100,RH,PN01,SN011,1,1,6,2,1,0,1.5,HIGH,LONG,17,4,2,SE
121,E101,LH,PN01,SN003,1,1,2,2,0,1,0.5,MID,LONG,17,4,2,SE
121,E102,RH,PN01,SN041,0,1,6,2,1,0,1.5,HIGH,LONG,17,4,2,SE
122,E103,LH,PN01,SN018,0,1,6,2,1,0,1.5,HIGH,LONG,17,4,2,SE
124,E104,RH,PN01,SN019,0,1,2,2,0,1,0.5,MID,LONG,17,4,2,SE
129,E105,RH,PN01,SN029,1,1,2,2,1,0,0.5,MID,LONG,18,4,2,SE
129,E106,LH,PN01,SN044,0,1,2,2,0,1,0.5,MID,LONG,18,4,2,SE
129,E107,LH,PN01,SN003,0,1,2,2,0,1,0.5,MID,LONG,18,4,2,SE
129,E108,RH,PN01,SN028,0,1,6,2,1,0,1.5,HIGH,LONG,18,4,2,SE
130,E109,RH,PN01,SN011,1,1,5.7,2,1,0,1.4,HIGH,LONG,18,4,2,SE
131,E110,LH,PN01,SN021,1,1,2,2,0,1,0.5,MID,LONG,18,4,2,SE
132,E111,LH,PN01,SN035,0,1,2,2,0,1,0.5,MID,LONG,18,4,2,SE
133,E112,LH,PN01,SN004,1,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
134,E113,LH,PN01,SN041,0,1,6,2,1,0,1.5,HIGH,LONG,19,4,2,SE
134,E114,LH,PN01,SN008,0,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
134,E115,RH,PN01,SN018,0,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
135,E116,LH,PN01,SN039,0,1,2,2,1,0,0.5,MID,LONG,19,4,2,SE
136,E117,LH,PN01,SN033,1,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
136,E118,RH,PN01,SN010,0,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
136,E119,RH,PN01,SN013,0,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
136,E120,LH,PN01,SN031,0,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
136,E121,RH,PN01,SN032,0,1,2,2,1,0,0.5,MID,LONG,19,4,2,SE
137,E122,RH,PN01,SN007,0,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
139,E123,LH,PN01,SN031,0,1,2,2,0,1,0.5,MID,LONG,19,4,2,SE
141,E124,LH,PN01,SN044,0,1,2,2,0,1,0.5,MID,LONG,20,4,2,SE
143,E125,RH,PN01,SN003,0,1,2,2,1,0,0.5,MID,LONG,20,4,2,SE
144,E126,LH,PN01,SN007,0,1,6,2,1,0,1.5,HIGH,LONG,20,4,2,SE
147,E127,LH,PN01,SN021,0,1,2,2,1,0,0.5,MID,LONG,21,4,2,SE
148,E128,RH,PN01,SN012,1,1,2,2,0,1,0.5,MID,LONG,21,4,2,SE
149,E129,RH,PN01,SN010,1,1,2,2,0,1,0.5,MID,LONG,21,4,2,SE
150,E130,LH,PN01,SN019,0,1,2,2,0,1,0.5,MID,LONG,21,5,2,SE
151,E131,RH,PN01,SN028,0,1,2,2,0,1,0.5,MID,LONG,21,5,2,SE
152,E132,LH,PN01,SN025,0,1,2,1.5,1,0,0.9,MID,SHORT,21,5,2,SE
153,E136,LH,PN01,SN029,1,1,5.3,2,1,0,1.3,HIGH,LONG,21,5,2,SE
153,E135,LH,PN01,SN047,0,1,6,2,1,0,1.5,HIGH,LONG,21,5,2,SE
153,E134,RH,PN01,SN019,0,1,2,2,1,0,0.5,MID,LONG,21,5,2,SE
153,E133,LH,PN01,SN037,0,1,2,2,0,1,0.5,MID,LONG,21,5,2,SE
154,E137,LH,PN01,SN035,0,1,2,2,1,0,0.5,MID,LONG,22,5,2,SE
155,E140,LH,PN01,SN026,1,1,2,2,0,1,0.5,MID,LONG,22,5,2,SE
155,E138,RH,PN01,SN031,0,1,2,2,0,1,0.5,MID,LONG,22,5,2,SE
155,E139,LH,PN01,SN015,0,1,2,2,0,1,0.5,MID,LONG,22,5,2,SE
158,E141,RH,PN01,SN041,0,1,6,2,1,0,1.5,HIGH,LONG,22,5,2,SE
160,E142,RH,PN01,SN040,1,1,2,2,0,1,0.5,MID,LONG,22,5,2,SE
160,E143,LH,PN01,SN009,1,1,2,2,1,0,0.5,MID,LONG,22,5,2,SE
161,E144,RH,PN01,SN025,0,1,2,2,0,1,0.5,MID,LONG,23,5,2,SE
162,E145,RH,PN01,SN010,0,1,2,2,0,1,0.5,MID,LONG,23,5,2,SE
165,E148,RH,PN01,SN006,0,1,2,2,1,0,0.5,MID,LONG,23,5,2,SE
165,E146,LH,PN01,SN045,0,1,2,2,0,1,0.5,MID,LONG,23,5,2,SE
165,E147,RH,PN01,SN035,0,1,6,1.8,1,0,1.9,HIGH,SHORT,23,5,2,SE
167,E149,LH,PN01,SN009,0,1,2,2,0,1,0.5,MID,LONG,23,5,2,SE
168,E150,RH,PN01,SN015,1,1,2,2,1,0,0.5,MID,LONG,24,5,2,SE
168,E151,LH,PN01,SN009,0,1,5.1,2,1,0,1.3,HIGH,LONG,24,5,2,SE
171,E152,RH,PN01,SN038,1,1,6,2,1,0,1.5,HIGH,LONG,24,5,2,SE
171,E154,RH,PN01,SN047,0,1,2,0.8,0,1,3.1,MID,SHORT,24,5,2,SE
171,E153,RH,PN01,SN031,0,1,2,2,0,1,0.5,MID,LONG,24,5,2,SE
173,E155,LH,PN01,SN026,0,1,2,2,0,1,0.5,MID,LONG,24,5,2,SE
174,E156,LH,PN01,SN010,1,1,2,2,0,1,0.5,MID,LONG,24,5,2,SE
177,E157,RH,PN01,SN034,1,1,2,2,0,1,0.5,MID,LONG,25,5,2,SE
178,E158,RH,PN01,SN036,0,1,2,2,1,0,0.5,MID,LONG,25,5,2,SE
180,E159,LH,PN01,SN027,0,1,2,1.5,1,0,0.9,MID,SHORT,25,6,3,SE
181,E160,LH,PN01,SN006,0,1,6,2,1,0,1.5,HIGH,LONG,25,6,3,SE
183,E161,RH,PN01,SN038,0,1,2,2,0,1,0.5,MID,LONG,26,6,3,SE
184,E163,RH,PN01,SN014,1,1,2,2,0,1,0.5,MID,LONG,26,6,3,SE
184,E162,RH,PN01,SN028,0,1,2,2,0,1,0.5,MID,LONG,26,6,3,SE
185,E164,LH,PN01,SN018,0,1,2,2,0,1,0.5,MID,LONG,26,6,3,SE
187,E165,RH,PN01,SN042,0,1,2,2,0,1,0.5,MID,LONG,26,6,3,SE
190,E166,LH,PN01,SN020,0,1,6,2,1,0,1.5,HIGH,LONG,27,6,3,SE
191,E167,LH,PN01,SN041,0,1,2,2,0,1,0.5,MID,LONG,27,6,3,SE
192,E168,LH,PN01,SN020,0,1,2,2,1,0,0.5,MID,LONG,27,6,3,SE
193,E172,RH,PN01,SN009,0,1,6,2,1,0,1.5,HIGH,LONG,27,6,3,SE
193,E171,RH,PN01,SN043,1,1,2,2,1,0,0.5,MID,LONG,27,6,3,SE
193,E170,LH,PN01,SN014,0,1,2,2,1,0,0.5,MID,LONG,27,6,3,SE
193,E169,LH,PN01,SN040,1,1,2,2,0,1,0.5,MID,LONG,27,6,3,SE
194,E174,RH,PN01,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,27,6,3,SE
194,E175,LH,PN01,SN041,0,1,6,2,1,0,1.5,HIGH,LONG,27,6,3,SE
194,E173,LH,PN01,SN035,0,1,2,2,0,1,0.5,MID,LONG,27,6,3,SE
196,E176,RH,PN01,SN045,0,1,2,2,1,0,0.5,MID,LONG,28,6,3,SE
196,E177,RH,PN01,SN026,0,1,6,2,1,0,1.5,HIGH,LONG,28,6,3,SE
197,E178,RH,PN01,SN034,0,1,2,2,0,1,0.5,MID,LONG,28,6,3,SE
198,E179,RH,PN01,SN016,1,1,6,2,1,0,1.5,HIGH,LONG,28,6,3,SE
200,E180,LH,PN01,SN041,0,1,2,2,0,1,0.5,MID,LONG,28,6,3,SE
201,E181,RH,PN01,SN041,0,1,2,2,1,0,0.5,MID,LONG,28,6,3,SE
202,E184,RH,PN01,SN025,0,1,2,2,0,1,0.5,MID,LONG,28,6,3,SE
202,E182,LH,PN01,SN041,1,1,6,2,1,0,1.5,HIGH,LONG,28,6,3,SE
202,E183,LH,PN01,SN004,0,1,2,2,0,1,0.5,MID,LONG,28,6,3,SE
202,E185,RH,PN01,SN042,1,1,2,2,0,1,0.5,MID,LONG,28,6,3,SE
207,E188,LH,PN01,SN039,1,1,2,2,1,0,0.5,MID,LONG,29,6,3,SE
207,E186,RH,PN01,SN022,0,1,2,2,1,0,0.5,MID,LONG,29,6,3,SE
207,E187,RH,PN01,SN034,0,1,2,2,1,0,0.5,MID,LONG,29,6,3,SE
208,E189,LH,PN01,SN017,0,1,2,2,0,1,0.5,MID,LONG,29,6,3,SE
212,E190,RH,PN01,SN010,0,1,2,2,0,1,0.5,MID,LONG,30,7,3,SE
217,E192,RH,PN01,SN044,0,1,2,2,0,1,0.5,MID,LONG,31,7,3,SE
217,E191,RH,PN01,SN006,1,1,2,2,0,1,0.5,MID,LONG,31,7,3,SE
217,E193,LH,PN01,SN014,1,1,5.1,2,1,0,1.3,HIGH,LONG,31,7,3,SE
217,E194,RH,PN01,SN033,0,1,2,2,1,0,0.5,MID,LONG,31,7,3,SE
220,E195,RH,PN01,SN009,0,1,6,2,1,0,1.5,HIGH,LONG,31,7,3,SE
221,E198,LH,PN01,SN044,0,0,2,2,1,0,0.5,MID,LONG,31,7,3,SE
221,E196,RH,PN01,SN047,0,1,2,2,1,0,0.5,MID,LONG,31,7,3,SE
221,E197,LH,PN01,SN029,1,1,2,2,0,1,0.5,MID,LONG,31,7,3,SE
222,E199,RH,PN01,SN011,0,1,6,2,1,0,1.5,HIGH,LONG,31,7,3,SE
223,E203,LH,PN01,SN015,1,1,2,2,0,1,0.5,MID,LONG,31,7,3,SE
223,E202,LH,PN01,SN023,0,1,2,2,0,1,0.5,MID,LONG,31,7,3,SE
223,E201,LH,PN01,SN029,0,1,2,2,0,1,0.5,MID,LONG,31,7,3,SE
223,E200,RH,PN01,SN036,0,1,2,2,1,0,0.5,MID,LONG,31,7,3,SE
225,E204,LH,PN02,SN019,0,1,2,2,0,1,0.5,MID,LONG,32,7,3,SE
226,E205,RH,PN02,SN006,1,1,5.5,2,1,0,1.4,HIGH,LONG,32,7,3,SE
236,E206,RH,PN02,SN016,1,1,2,2,0,1,0.5,MID,LONG,33,7,3,SE
237,E209,LH,PN02,SN034,0,1,2,2,1,0,0.5,MID,LONG,33,7,3,SE
237,E208,LH,PN02,SN040,0,1,6,2,1,0,1.5,HIGH,LONG,33,7,3,SE
237,E207,LH,PN02,SN032,0,1,2,2,1,0,0.5,MID,LONG,33,7,3,SE
239,E210,LH,PN02,SN025,0,1,6,2,1,0,1.5,HIGH,LONG,34,7,3,SE
241,E211,RH,PN02,SN041,1,1,2,2,1,0,0.5,MID,LONG,34,8,3,SE
242,E212,LH,PN02,SN042,1,1,2,2,0,1,0.5,MID,LONG,34,8,3,SE
242,E213,RH,PN02,SN005,0,1,6,2,1,0,1.5,HIGH,LONG,34,8,3,SE
245,E216,RH,PN02,SN028,0,1,2,1.3,0,1,1.2,MID,SHORT,35,8,3,Transition
245,E215,RH,PN02,SN013,1,1,6,2,1,0,1.5,HIGH,LONG,35,8,3,Transition
245,E214,RH,PN02,SN021,0,1,2,2,0,1,0.5,MID,LONG,35,8,3,Transition
249,E217,RH,PN02,SN034,1,1,2,0.9,0,1,2.5,MID,SHORT,35,8,3,Transition
250,E218,LH,PN02,SN007,1,1,2,2,0,1,0.5,MID,LONG,35,8,3,Transition
250,E219,RH,PN02,SN023,0,1,2,2,0,1,0.5,MID,LONG,35,8,3,Transition
252,E220,RH,PN02,SN004,1,1,2,2,0,1,0.5,MID,LONG,36,8,3,Transition
252,E221,RH,PN02,SN010,0,1,2,2,1,0,0.5,MID,LONG,36,8,3,Transition
254,E224,RH,PN02,SN002,0,1,2,2,0,1,0.5,MID,LONG,36,8,3,Transition
254,E223,LH,PN02,SN049,1,1,2,2,1,0,0.5,MID,LONG,36,8,3,Transition
254,E222,RH,PN02,SN024,0,1,2,2,0,1,0.5,MID,LONG,36,8,3,Transition
255,E225,LH,PN02,SN029,1,1,2,2,0,1,0.5,MID,LONG,36,8,3,Transition
256,E226,LH,PN02,SN005,0,1,2,2,1,0,0.5,MID,LONG,36,8,3,Transition
257,E227,RH,PN02,SN021,0,1,2,2,1,0,0.5,MID,LONG,36,8,3,Transition
258,E228,LH,PN02,SN046,0,1,2,2,0,1,0.5,MID,LONG,36,8,3,Transition
259,E229,LH,PN02,SN009,1,1,2,2,0,1,0.5,MID,LONG,37,8,3,Transition
260,E230,RH,PN02,SN009,0,1,2,2,0,1,0.5,MID,LONG,37,8,3,Transition
260,E231,RH,PN02,SN027,0,1,2,2,0,1,0.5,MID,LONG,37,8,3,Transition
261,E232,RH,PN02,SN023,1,1,2,2,0,1,0.5,MID,LONG,37,8,3,Transition
262,E234,LH,PN02,SN046,1,0,2,2,1,0,0.5,MID,LONG,37,8,3,Transition
262,E233,LH,PN02,SN033,0,1,6,2,1,0,1.5,HIGH,LONG,37,8,3,Transition
263,E235,LH,PN02,SN036,1,1,2,2,1,0,0.5,MID,LONG,37,8,3,Transition
264,E236,RH,PN02,SN038,1,1,2,2,0,1,0.5,MID,LONG,37,8,3,Transition
265,E237,RH,PN02,SN002,1,0,2,2,1,0,0.5,MID,LONG,37,8,3,Transition
267,E238,RH,PN02,SN040,0,1,2,1.3,1,0,1.2,MID,SHORT,38,8,3,Transition
267,E239,RH,PN02,SN044,0,1,2,2,1,0,0.5,MID,LONG,38,8,3,Transition
272,E240,LH,PN02,SN022,0,1,2,2,0,1,0.5,MID,LONG,38,9,4,Transition
273,E242,LH,PN02,SN010,1,1,2,2,0,1,0.5,MID,LONG,39,9,4,Transition
273,E241,RH,PN02,SN009,0,1,6,2,1,0,1.5,HIGH,LONG,39,9,4,Transition
274,E243,RH,PN02,SN011,0,1,2,2,1,0,0.5,MID,LONG,39,9,4,Transition
275,E244,RH,PN02,SN030,0,1,5.5,1,1,0,5.5,HIGH,SHORT,39,9,4,Transition
280,E246,LH,PN02,SN007,0,1,2,2,0,1,0.5,MID,LONG,40,9,4,Transition
280,E245,LH,PN02,SN004,1,1,2,2,0,1,0.5,MID,LONG,40,9,4,Transition
282,E247,LH,PN02,SN037,0,1,6,2,1,0,1.5,HIGH,LONG,40,9,4,Transition
283,E248,RH,PN02,SN040,0,1,2,2,0,1,0.5,MID,LONG,40,9,4,Transition
284,E249,LH,PN02,SN024,0,1,2,2,0,1,0.5,MID,LONG,40,9,4,Transition
286,E250,LH,PN02,SN022,0,1,5.1,2,1,0,1.3,HIGH,LONG,40,9,4,Transition
287,E254,RH,PN02,SN038,0,1,2,2,1,0,0.5,MID,LONG,41,9,4,Transition
287,E252,RH,PN02,SN046,0,1,6,2,1,0,1.5,HIGH,LONG,41,9,4,Transition
287,E251,LH,PN02,SN026,0,1,6,2,1,0,1.5,HIGH,LONG,41,9,4,Transition
287,E253,LH,PN02,SN020,0,1,2,2,1,0,0.5,MID,LONG,41,9,4,Transition
289,E255,RH,PN02,SN025,1,1,5.1,2,1,0,1.3,HIGH,LONG,41,9,4,Transition
291,E256,LH,PN02,SN010,0,1,2,2,0,1,0.5,MID,LONG,41,9,4,Transition
292,E257,RH,PN02,SN047,1,1,6,2,1,0,1.5,HIGH,LONG,41,9,4,Transition
294,E258,RH,PN02,SN021,0,1,2,2,0,1,0.5,MID,LONG,42,9,4,Transition
295,E259,RH,PN02,SN044,0,1,2,2,1,0,0.5,MID,LONG,42,9,4,Transition
296,E260,RH,PN02,SN015,0,0,2,2,0,1,0.5,MID,LONG,42,9,4,Transition
296,E262,RH,PN02,SN025,0,1,2,2,0,1,0.5,MID,LONG,42,9,4,Transition
296,E261,RH,PN02,SN031,0,1,2,2,1,0,0.5,MID,LONG,42,9,4,Transition
298,E263,LH,PN02,SN046,1,1,2,2,0,1,0.5,MID,LONG,42,9,4,Transition
299,E264,RH,PN02,SN018,0,1,6,2,1,0,1.5,HIGH,LONG,42,9,4,Transition
300,E265,LH,PN02,SN043,0,1,6,2,1,0,1.5,HIGH,LONG,42,10,4,Transition
301,E266,LH,PN02,SN044,0,1,2,2,0,1,0.5,MID,LONG,43,10,4,Transition
303,E267,RH,PN02,SN031,0,1,2,2,1,0,0.5,MID,LONG,43,10,4,Transition
304,E268,RH,PN02,SN006,0,1,2,2,0,1,0.5,MID,LONG,43,10,4,NW
306,E269,RH,PN02,SN027,0,1,2,2,0,1,0.5,MID,LONG,43,10,4,NW
309,E270,RH,PN02,SN048,0,1,2,2,1,0,0.5,MID,LONG,44,10,4,NW
310,E271,LH,PN02,SN022,1,0,2,2,0,1,0.5,MID,LONG,44,10,4,NW
312,E272,RH,PN02,SN030,1,1,2,2,0,1,0.5,MID,LONG,44,10,4,NW
313,E274,RH,PN02,SN026,0,1,6,2,1,0,1.5,HIGH,LONG,44,10,4,NW
313,E276,LH,PN02,SN038,0,1,2,2,0,1,0.5,MID,LONG,44,10,4,NW
313,E275,LH,PN02,SN021,0,1,2,2,0,1,0.5,MID,LONG,44,10,4,NW
313,E273,RH,PN02,SN001,0,1,2,2,0,1,0.5,MID,LONG,44,10,4,NW
314,E277,LH,PN02,SN020,1,1,2,2,0,1,0.5,MID,LONG,44,10,4,NW
316,E278,RH,PN02,SN041,0,1,2,2,1,0,0.5,MID,LONG,45,10,4,NW
317,E279,LH,PN02,SN048,0,1,2,2,0,1,0.5,MID,LONG,45,10,4,NW
317,E280,RH,PN02,SN014,0,1,2,2,0,1,0.5,MID,LONG,45,10,4,NW
